ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type,Approaches,Meets,Masters
DAINGERFIELD-LONE STAR ISD,Spring 2022,3,21,79,33,15,172902,STAAR - Reading,46,18,15
DALHART ISD,Spring 2022,3,52,48,24,11,56901,STAAR - Reading,24,13,11
DALLAS ISD (057905),Spring 2022,3,30,70,45,27,57905,STAAR - Reading,25,18,27
DAMON ISD,Spring 2022,3,38,62,38,0,20910,STAAR - Reading,24,38,0
DANBURY ISD,Spring 2022,3,25,75,58,23,20904,STAAR - Reading,17,35,23
DARROUZETT ISD,Spring 2022,3,50,50,0,0,148905,STAAR - Reading,50,0,0
DAWSON ISD (058902),Spring 2022,3,29,71,36,21,58902,STAAR - Reading,35,15,21
DAWSON ISD (175904),Spring 2022,3,14,86,59,21,175904,STAAR - Reading,27,38,21
DAYTON ISD,Spring 2022,3,24,76,42,22,146902,STAAR - Reading,34,20,22
DE LEON ISD,Spring 2022,3,10,90,62,42,47902,STAAR - Reading,28,20,42
DECATUR ISD,Spring 2022,3,22,78,50,25,249905,STAAR - Reading,28,25,25
DEER PARK ISD,Spring 2022,3,18,82,57,35,101908,STAAR - Reading,25,22,35
DEKALB ISD,Spring 2022,3,13,87,53,29,19901,STAAR - Reading,34,24,29
DEL VALLE ISD,Spring 2022,3,33,67,36,16,227910,STAAR - Reading,31,20,16
DELL CITY ISD,Spring 2022,3,40,60,40,20,115903,STAAR - Reading,20,20,20
DENISON ISD,Spring 2022,3,19,81,50,26,91903,STAAR - Reading,31,24,26
DENTON ISD,Spring 2022,3,23,77,52,32,61901,STAAR - Reading,25,20,32
DENVER CITY ISD,Spring 2022,3,26,74,40,23,251901,STAAR - Reading,34,17,23
DESOTO ISD,Spring 2022,3,38,62,31,16,57906,STAAR - Reading,31,15,16
DETROIT ISD,Spring 2022,3,12,88,45,24,194905,STAAR - Reading,43,21,24
