OBJECTID,STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,SDADMLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape__Area,Shape__Length
3427,40, , ,16500, ,4016500,Kiefer Public Schools,00,PK,12,G5420, ,E,34780344,407664,+35.9552131,-096.0585068,2022,2021-2022,0.00351528508531374,0.280337157175008
3428,40, , ,07620, ,4007620,Choctaw/Nicoma Park Schools,00,KG,12,G5420, ,E,150280093,91851,+35.4533453,-097.2616595,2022,2021-2022,0.0149297685541114,0.603208672466884
3429,40, , ,09060, ,4009060,Crooked Oak Public Schools,00,PK,12,G5420, ,E,11233110,0,+35.4450913,-097.4751440,2022,2021-2022,0.00111515257049177,0.165478116535789
3430,40, , ,15840, ,4015840,Jones Public Schools,00,KG,12,G5420, ,E,133945749,16652,+35.5730488,-097.2958749,2022,2021-2022,0.0133199562435493,0.745341716849347
3431,40, , ,04830, ,4004830,Bluejacket Public Schools,00,PK,12,G5420, ,E,435438936,635811,+36.7930863,-095.2074200,2022,2021-2022,0.0440271879990632,1.55094802170177
3432,40, , ,31290, ,4031290,Vinita Public Schools,00,PK,12,G5420, ,E,445944297,1152143,+36.6045164,-095.1672008,2022,2021-2022,0.0450353154838012,1.84079761946273
3433,40, , ,29380, ,4029380,Tahlequah Public Schools,00,PK,12,G5420, ,E,346996873,14768339,+35.8542940,-094.9654165,2022,2021-2022,0.0360735970443784,2.85398845740524
3434,40, , ,20080, ,4020080,Millwood Public Schools,00,PK,12,G5420, ,E,23333651,219667,+35.5385439,-097.4700030,2022,2021-2022,0.00234089322475484,0.23825250829746
3435,40, , ,32370, ,4032370,Western Heights Public Schools,00,PK,12,G5420, ,E,66567065,168784,+35.4284450,-097.6289542,2022,2021-2022,0.00662341440647651,0.456869092749637
3436,40, , ,09090, ,4009090,Crowder Public Schools,00,KG,12,G5420, ,E,347100567,81751814,+35.0823654,-095.6524873,2022,2021-2022,0.04236685725391,1.34581384504568
3437,40, , ,29400, ,4029400,Talihina Public Schools,00,PK,12,G5420, ,E,183662415,908022,+34.8006285,-094.9776557,2022,2021-2022,0.0181766580456042,0.786681537165807
3438,40, , ,08790, ,4008790,Covington-Douglas Schools,00,PK,12,G5420, ,E,700057457,2020469,+36.2101783,-097.5948815,2022,2021-2022,0.0703661047423338,1.55377037080244
3439,40, , ,09570, ,4009570,Deer Creek Public Schools,00,KG,12,G5420, ,E,183965629,344315,+35.6931321,-097.5978890,2022,2021-2022,0.0183529243233806,0.771260819922256
3440,40, , ,20910, ,4020910,Mulhall-Orlando Public Schools,00,KG,12,G5420, ,E,572501951,6676025,+36.1051207,-097.3939176,2022,2021-2022,0.057966487971953,1.41646792990231
3441,40, , ,06850, ,4006850,Okemah Public Schools,00,KG,12,G5420, ,E,423586135,4356315,+35.4750817,-096.3632169,2022,2021-2022,0.0424967379749432,1.58163923949626
3442,40, , ,31170, ,4031170,Vici Public Schools,00,PK,12,G5420, ,E,761360362,2507150,+36.0778252,-099.2896452,2022,2021-2022,0.0764249378848945,1.82702030179835
3443,40, , ,04650, ,4004650,Blair Public Schools,00,KG,12,G5420, ,E,150984506,714593,+34.8013104,-099.3294198,2022,2021-2022,0.0149428402612557,0.919265699458638
3444,40, , ,14850, ,4014850,Hollis Public Schools,00,KG,12,G5420, ,E,1318712476,3893730,+34.7613349,-099.8508536,2022,2021-2022,0.13021551903239,2.19880728707189
3445,40, , ,10260, ,4010260,Duke Public Schools,00,KG,12,G5420, ,E,405972309,660097,+34.6560537,-099.5741323,2022,2021-2022,0.0399878672410523,1.05654716166911
3446,40, , ,21180, ,4021180,Navajo Public Schools,00,KG,12,G5420, ,E,376437415,155095,+34.7323403,-099.2512321,2022,2021-2022,0.0370650492120603,2.09275181467499
3447,40, , ,25950, ,4025950,Ripley Public Schools,00,PK,12,G5420, ,E,213954840,4106927,+36.0377173,-096.9009504,2022,2021-2022,0.0218065294097869,1.00261133635958
3448,40, , ,28680, ,4028680,Stillwater Public Schools,00,PK,12,G5420, ,E,309022900,10877840,+36.1239869,-097.0825032,2022,2021-2022,0.0320255831418308,1.15805703287048
3449,40, , ,21840, ,4021840,North Rock Creek Public School,00,PK,12,G5420, ,E,97243570,159158,+35.4166704,-096.8852963,2022,2021-2022,0.00966644610821277,0.704218228225528
